record_id,surface,run_batch_id,object_name,content_role,status,reason_code,state_token,ingest_ready,review_ready,repo_owner,repo_root,relative_path,absolute_path,notes
IDX-11,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,SIFSearchProbeReceipt,summarized,HOLD,NO_REAL_CANDIDATE_ROWS,SUMMARIZED,FALSE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,outputs/selection_runs/20260412_b9_integrated_row1_v3/02_generated_outputs/sif_search_surface_probe.json,E:\选品文件夹\amazon-selection-automation\outputs\selection_runs\20260412_b9_integrated_row1_v3\02_generated_outputs\sif_search_surface_probe.json,Fallback summary emitted by hardened nightly orchestration
IDX-12,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,SIFEnrichmentReceipt,summarized,HOLD,BLOCKED_BY_SIF_OR_POOL_ALIGNMENT__NO_REAL_CANDIDATE_ROWS__SIF_DETAIL_SURFACE_NOT_COLLECTED__SIF_SEARCH_SURFACE_NOT_COLLECTED,SUMMARIZED,FALSE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,outputs/selection_runs/20260412_b9_integrated_row1_v3/02_generated_outputs/sif_enrichment_daytime_pack_summary.json,E:\选品文件夹\amazon-selection-automation\outputs\selection_runs\20260412_b9_integrated_row1_v3\02_generated_outputs\sif_enrichment_daytime_pack_summary.json,Blocked daytime pack summary emitted instead of aborting the batch
IDX-13,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,AuthIncidentEvidence,reviewable,BLOCKED,SELLERSPRITE_AUTH_REQUIRED,REVIEWABLE,FALSE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,logs/sellersprite_auth_incidents/incidents/2026-04-12T00-50-45-08-00-benchmark_export-stage_b_export_log_baseline-SELLERSPRITE_EXPORT_LOG_AUTH.json,E:\选品文件夹\amazon-selection-automation\logs\sellersprite_auth_incidents\incidents\2026-04-12T00-50-45-08-00-benchmark_export-stage_b_export_log_baseline-SELLERSPRITE_EXPORT_LOG_AUTH.json,Current run auth incident record
IDX-14,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,AuthIncidentScreenshot,reviewable,BLOCKED,SELLERSPRITE_AUTH_REQUIRED,REVIEWABLE,FALSE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,playwright/screenshots/sellersprite_auth_incidents/2026-04-12T005045_0800-benchmark_export-stage_b_export_log_baseline-auth.png,E:\选品文件夹\amazon-selection-automation\playwright\screenshots\sellersprite_auth_incidents\2026-04-12T005045_0800-benchmark_export-stage_b_export_log_baseline-auth.png,Current run screenshot evidence for the auth block
IDX-15,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,AuthIncidentPageSnapshotJson,reviewable,BLOCKED,SELLERSPRITE_AUTH_REQUIRED,REVIEWABLE,FALSE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,logs/sellersprite_auth_incidents/page_snapshots/2026-04-12T005045_0800-benchmark_export-stage_b_export_log_baseline-SELLERSPRITE_EXPORT_LOG_AUTH.json,E:\选品文件夹\amazon-selection-automation\logs\sellersprite_auth_incidents\page_snapshots\2026-04-12T005045_0800-benchmark_export-stage_b_export_log_baseline-SELLERSPRITE_EXPORT_LOG_AUTH.json,Current run page snapshot JSON
IDX-16,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,AuthIncidentPageSnapshotHtml,reviewable,BLOCKED,SELLERSPRITE_AUTH_REQUIRED,REVIEWABLE,FALSE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,logs/sellersprite_auth_incidents/page_snapshots/2026-04-12T005045_0800-benchmark_export-stage_b_export_log_baseline-SELLERSPRITE_EXPORT_LOG_AUTH.html,E:\选品文件夹\amazon-selection-automation\logs\sellersprite_auth_incidents\page_snapshots\2026-04-12T005045_0800-benchmark_export-stage_b_export_log_baseline-SELLERSPRITE_EXPORT_LOG_AUTH.html,Current run page snapshot HTML
IDX-17,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,ModelInferenceReceipt,ingest_ready,NOT_EMITTED,NO_MODEL_CALL_IN_THIS_BATCH,NOT_APPLICABLE,FALSE,FALSE,selection_repo,E:\选品文件夹\amazon-selection-automation,,,The current nightly slice exercised no model provider call
IDX-18,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,RuntimeTraceBaseline,reviewable,PASS,RUNTIME_BASELINE_ONLY,REVIEWABLE,FALSE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,playwright/traces/playwright-smoke.zip,E:\选品文件夹\amazon-selection-automation\playwright\traces\playwright-smoke.zip,Trace coverage exists only as a runtime baseline and was not freshly emitted by the current batch
IDX-19,B_SIDE_NIGHTLY_ACCEPTANCE,20260412_b9_integrated_row1_v3,RuntimeScreenshotBaseline,reviewable,PASS,RUNTIME_BASELINE_ONLY,REVIEWABLE,FALSE,TRUE,selection_repo,E:\选品文件夹\amazon-selection-automation,playwright/screenshots/playwright-smoke.png,E:\选品文件夹\amazon-selection-automation\playwright\screenshots\playwright-smoke.png,Runtime screenshot baseline
IDX-20,DATA,,TaskEnvelopeSurface,contract_only,HOST_NOT_OBSERVED,LOCAL_DATA_HOST_ABSENT,NOT_READY,FALSE,TRUE,b_side_governance,E:\bzclaw-side,,,DATA dispatch/return stays contract-only until a repo-visible local hostline exists
IDX-21,B02,,TaskEnvelopeSurface,contract_only,HOST_NOT_OBSERVED,LOCAL_B02_HOST_ABSENT,NOT_READY,FALSE,TRUE,b_side_governance,E:\bzclaw-side,,,B02 dispatch/return stays contract-only until a repo-visible local hostline exists
