object_name,track_scope,classification,current_materialization,producer_scripts,input_object,intermediate_artifacts,output_object,evidence_paths,reviewable_summary,observed_local_sample,ingest_posture,notes
CandidateProjectionArtifactSet,BT-08,projection_output_set,real_outputs_exist,scripts/build_candidate_pool.py,MarketIntelligenceInputProfile|UpstreamArtifactBinding,"03_鍊欓€夊競鍦轰笌鍊欓€夊搧鍒濈瓫姹?csv|candidate_pool_summary.json",candidate_projection_pack,"outputs/selection_runs/<batch_id>/02_generated_outputs/03_*.csv|60_鍊欓€夋牱鍝佹睜.csv|60_鍊欓€夋牱鍝佹睜.md|candidate_pool_summary.json|logs/candidate_pool/latest_run.json",60_鍊欓€夋牱鍝佹睜.md,"outputs/selection_runs/20260411_t02_toy_parameterized_step7/02_generated_outputs -> 03 rows=46 | 60 rows=46 | status=HOLD | reason=PRODUCT_FEASIBLE__MARKET_ABSTRACTION_PENDING",reviewable_projection_only,This is a real business projection pack and not a final go/no-go sheet.
CandidateReviewSummary,BT-08,reviewable_summary,real_markdown_exists,scripts/build_candidate_pool.py,CandidateProjectionArtifactSet,summary_status_and_blocked_rows,owner_or_gpt_review_surface,"outputs/selection_runs/<batch_id>/02_generated_outputs/60_鍊欓€夋牱鍝佹睜.md|candidate_pool_summary.json|logs/candidate_pool/latest_run.json",60_鍊欓€夋牱鍝佹睜.md,"20260411_t02_toy_parameterized_step7/02_generated_outputs/60_鍊欓€夋牱鍝佹睜.md",review_surface_only,Preferred readable surface for owner preview and GPT review.
SIFAuthBootstrapReceipt,BT-09,support_receipt,real_local_bootstrap_receipt_exists,scripts/bootstrap_sif_auth.py,CandidateSampleRef,latest_bootstrap_run.json,local_auth_precondition_receipt,"logs/sif_surfaces/latest_bootstrap_run.json|playwright/profiles/sif-main/**|playwright/auth/sif.storage_state.json",none,"logs/sif_surfaces/latest_bootstrap_run.json",local_only_support,Useful for local readiness but not a cross-side handoff payload.
SIFDetailProbeReceipt,BT-09,collector_receipt,real_summary_json_exists,scripts/collect_sif_detail_surface.py,CandidateSampleRef,"50_SIF娴侀噺缁撴瀯琛ュ己.csv|sif_detail_surface_probe.json",detail_surface_receipt,"logs/sif_surfaces/latest_detail_run.json|outputs/selection_runs/<batch_id>/02_generated_outputs/50_SIF娴侀噺缁撴瀯琛ュ己.csv|outputs/selection_runs/<batch_id>/02_generated_outputs/sif_detail_surface_probe.json",61_寰呬緵搴旈摼鏍稿埄娓呭崟.md or pack brief,"logs/sif_surfaces/latest_detail_run.json -> HOLD | reason=SIF_AUTH_REQUIRED | route=reverse | execution_mode=persistent_profile",shadow_or_blocked_receipt,Surface receipt is business evidence even when auth blocks metrics.
SIFSearchProbeReceipt,BT-09,collector_receipt,real_summary_json_exists,scripts/collect_sif_search_surface.py,CandidateSampleRef,"51_SIF鍏抽敭璇嶄环鍊艰ˉ寮?csv|52_SIF骞垮憡缁撴瀯琛ュ己.csv|sif_search_surface_probe.json",search_surface_receipt,"logs/sif_surfaces/latest_search_run.json|outputs/selection_runs/<batch_id>/02_generated_outputs/51_SIF鍏抽敭璇嶄环鍊艰ˉ寮?csv|52_SIF骞垮憡缁撴瀯琛ュ己.csv|sif_search_surface_probe.json",61_寰呬緵搴旈摼鏍稿埄娓呭崟.md or pack brief,"logs/sif_surfaces/latest_search_run.json -> HOLD | reason=SIF_AUTH_REQUIRED | route=snapshot | execution_mode=persistent_profile",shadow_or_blocked_receipt,Search-side receipt must stay separate from the aligned builder output.
SIFAlignedArtifactSet,BT-10,aligned_output_set,real_builder_outputs_exist,scripts/build_sif_enrichment_daytime_pack.py,CandidateProjectionArtifactSet|SIFDetailProbeReceipt|SIFSearchProbeReceipt,"50_SIF娴侀噺缁撴瀯琛ュ己.csv|51_SIF鍏抽敭璇嶄环鍊艰ˉ寮?csv|52_SIF骞垮憡缁撴瀯琛ュ己.csv|53_SIF琛ュ己涓嬫帹缁撴灉.csv|61_寰呬緵搴旈摼鏍稿埄娓呭崟.csv",SIF_reinforcement_pack,"outputs/selection_runs/<batch_id>/02_generated_outputs/50_*.csv|51_*.csv|52_*.csv|53_*.csv|61_寰呬緵搴旈摼鏍稿埄娓呭崟.csv|sif_enrichment_daytime_pack_summary.json|logs/sif_enrichment/latest_run.json",61_寰呬緵搴旈摼鏍稿埄娓呭崟.md,"outputs/selection_runs/20260407_p09_daytime_pack/02_generated_outputs -> 50/51/52/53 rows all 20 | 61 rows=0 | status=HOLD",shadow_or_blocked_artifact_set,Aligned SIF outputs are real but current latest truth remains blocked by auth and pool alignment.
SIFReviewSummary,BT-10,reviewable_summary,real_markdown_and_summary_exist,scripts/build_sif_enrichment_daytime_pack.py,SIFAlignedArtifactSet,reason_counts_and_step5_status_counts,owner_or_gpt_review_surface,"outputs/selection_runs/<batch_id>/02_generated_outputs/61_寰呬緵搴旈摼鏍稿埄娓呭崟.md|sif_enrichment_daytime_pack_summary.json|logs/sif_enrichment/latest_run.json",61_寰呬緵搴旈摼鏍稿埄娓呭崟.md,"20260407_p09_daytime_pack/02_generated_outputs/61_寰呬緵搴旈摼鏍稿埄娓呭崟.md -> aligned rows 20 | daytime_rows 0",review_surface_only,Readable SIF summary is for review and does not grant business closure.
MarketIntelligenceEvidencePack,BT-04|BT-05|BT-08|BT-09|BT-10,evidence_pack,composite_refs_only,pack_level_composition_over_existing_scripts,all_family_objects,"summary JSON refs|canonical CSV refs|review MD refs|screenshot refs|trace refs when present",cross_family_evidence_bundle,"logs/**|outputs/selection_runs/<batch_id>/02_generated_outputs/**|runs/manual/**|playwright/screenshots/**|playwright/traces/**",pack brief and family markdown summaries,"keyword logs + market workbook indexes + candidate 60.md + SIF 61.md + auth incident screenshots",reference_first_evidence_bundle,Do not include raw auth/profile payloads and do not depend on malformed legacy JSON field names.
MarketIntelligencePack,BT-04|BT-05|BT-08|BT-09|BT-10,composite_business_pack,documented_run_scoped_bundle,B_MARKET_INTELLIGENCE_PACK.md,MarketIntelligenceInputProfile|UpstreamArtifactBinding,"family pack presence and blocked status are explicit",run_scoped_market_intelligence_bundle,"family object refs plus their evidence refs",B_MARKET_INTELLIGENCE_PACK.md,"documented from observed STEP2 STEP3 STEP7 and SIF runtime samples on 2026-04-11",stable_business_surface,This is the business object surface that replaces the old loose script-set description.
MarketIntelligenceHandoffBrief,BT-04|BT-05|BT-08|BT-09|BT-10,handoff_brief,template_ready,B_MARKET_INTELLIGENCE_PACK.md,MarketIntelligencePack,brief_fields_only,A_B_handoff_surface,"B_MARKET_INTELLIGENCE_PACK.md|family review summaries|evidence refs",B_MARKET_INTELLIGENCE_PACK.md,"brief template in B_MARKET_INTELLIGENCE_PACK.md",safe_cross_side_brief,Use a reference-first brief for A ingest and GPT review without implying publish approval.
